tweet_id,tweet,xgboost_pred
4504,is surrounded by lots of ipad 2 boxes #sxsw,Neutral
5770,rt @mention get a look at #sxsw's rumored #apple &quot;pop-up&quot; store in austin: {link},Neutral
1728,"@mention #sxsw so far: partied w/ google, twilio, lego, milyoni (sick taco party), now big boi concert by 4sq and instagram.",Neutral
4875,heading to talk by @mention #searchengineland #sxsw on a q&amp;a session with @mention &amp; bing,Neutral
6886,rt @mention we just launched spin's ipad app at #sxsw. tons of #music #photos #videos and more! whatcha think? {link},Neutral
2740,"#sxsw come to the #privacybootcamp for startups with @mention @mention google, facebook in acc 9abc. starting now. #sxswi",Neutral
3226,best thing i've heard in a long while actually! &quot;i gave ipad 2 money to #japan relief.&quot; #sxsw @mention @mention @mention,Negative
7648,@mention reason 19: keep parakeets employed! {link} keep track of where the ladies are at #sxsw {link},Neutral
6939,rt @mention will google preview a major new social service called google circles today at #sxsw {link},Neutral
6237,rt @mention last month it was discovr for ipad at #midem. this time it's discovr for iphone at #sxsw. climbing the app store charts! {link},Positive
4528,"sxsw iphone app is awesome, but ipad app crashes every time. #sxsw",Positive
1690,#pubcamp #kirkus #sxsw   download qrank on your ipad/iphone before you come to pubcamp sxsw 2011 - prizes!,Neutral
1762,google: 40% of map usage is mobile. seeing a demo of new version of mobile maps. nice! #sxsw,Positive
8637,new mike tyson game coming to the iphone - {link} #iphone #sxsw #videogames #tyson #art #cartoon,Neutral
3436,"checked the #sxsw apple store line on the way here. man, that line is long. :) #toolongforme",Neutral
8714,over 40% use of google maps is mobile -marissa mayer #sxsw,Neutral
1743,going to #sxsw? here's a google map of free wi-fi hotspots: {link} (warning: it's from 2009),Neutral
316,great day at #sxsw -but jaloux of @mention &amp; his new ipad.look at him on school bus on 1st day of school {link},Positive
31,you must have this app for your ipad if you are going to #sxsw http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,Positive
3790,vip @mention the apple store! #sxsw #nerdheaven,Neutral
1824,"gettiing a last minute visit from @mention and @mention  i'd like to think it's for me, but it's all about the ipad.  #sxsw",Positive
5788,rt @mention going to #sxsw? we compiled a list of the top 6 smartphone apps to have while in austin. {link} #iphone #droid,Neutral
3943,i'll be live-tweeting the #sxsw panel &quot;google's marissa mayer presents&quot; starting at 3:30. follow along using the #suxsw hashtag!,Neutral
5053,"rt @mention .@mention of @mention on manufacturing serendipity- &quot;having access to more information makes us more curious, not less&quot; #sxsw",Neutral
3077,i don't get the obsession with chasing open bars. everyone here can afford a drink; and if you can't go pawn your ipad. #sxsw,Positive
3750,fun with interactive maps at the @mention and google party: {link} #sxsw,Neutral
629,scavenger hunt game for businesses released as app for the iphone at #sxsw {link},Neutral
3630,@mention if you didn't know about this: google developer day at sxsw {link} #austin #sxsw @mention,Neutral
5917,"rt @mention google trying to fill void for local information with hotpot. if you own a biz, claim it and provide photos and more info. #sxsw",Neutral
7612,"if you were at the #pepsicostage yesterday, please check your bag. you may have my ipad. the lock screen will tell you it's mine. #sxsw",Neutral
1464,got green? check out @mention live in austin during #sxsw ..check out his show schedule here -&gt; {link},Neutral
3182,register for our private beta and to win an apple tv during #sxsw! visit {link} for details,Neutral
5292,"rt @mention #sxsw go is available on 5 platforms - iphone, ipad, android, windows phone 7, and blackberry.  download it at {link}",Neutral
3112,"love my new iphone case, featuring @mention rt @mention - @mention so glad you got case! #zazzlesxsw #sxsw {link}",Positive
7177,it just got real. apple store #sxsw {link},Neutral
810,"google to launch major new social network called circles, possibly today{link} #sxsw",Neutral
3479,@mention hi josh. do yo have an iphone. do you have beluga? do you get text for dms? :d #sxsw #sxswi contact plans,Neutral
2242,crowley says no hard feelings towards google after dodgeball experience. says they would be good partner. #sxsw #checkins,Positive
4545,does anyone know if the @mention store at #sxsw still has ipad 2's in stock?,Neutral
4378,{link} samsung galaxy s ii appears at fcc and team android #sxsw party {link} #android #followback,Neutral
5351,rt @mention 2100+ #sxsw artists categorized alphabetically in an easy access google spreadsheet: {link} via {link},Neutral
3277,at a #google #sxsw party and i don't have a badge suckas!!!,Neutral
6739,"rt @mention the future is about networks, not just data. that's why google may not win long term #sxsw #web3 #saatchiny",Negative
869,i love it marketing genius.. #sxsw rt @mention inside apple's temporary store in austin {link},Positive
1110,the apple store at #sxsw is almost sell out...,Neutral
8298,#apple set to open popup shop in core of #sxsw action {link},Neutral
3898,"#sxsw #twit #geekbeat free idea: a hooded snuggie with a tummy pocket for an ipad facing out, so you look like a #teletubbie. i'm old",Positive
4449,never seen so many apple products in my life #sxsw,Neutral
1505,like that's bad rt @mention sitting at a bar listening to music w 3 ppl who r all nose down on iphone. waitress looks confused. #sxsw,Positive
6138,rt @mention interesting. google will launch circles later today where context is added to search #sxsw {link},Neutral
7160,looking forward to hearing lynn teo tell me nice things i probably should already know about ipad navigation #uxdes #sxsw,Neutral
3238,navigating trade show difficult. a lot of jackasses walking while playing with new ipad. they're nasty when you ask 'em to move. #sxsw,Neutral
8006,pic - 41 shades of blue google test #sxsw #metricsdrivendesign {link},Neutral
2762,"[on iphone, mute tags, people, conversationsû_] &quot;so does @mention for those on mobile #sxsw #notatsxsw &quot; [rt @mention",Neutral
2278,"post-facebook deal, beluga gets a final sxsw tune-up {link} #butfacebook #fastsociety #iphone #sxsw",Neutral
3114,awesome new version of @mention for iphone and new web site coming after #sxsw. want a demo? meet with @mention at #sxsw. pls rt,Positive
6915,"rt @mention well damn, apple setting up a &quot;pop-up&quot; shop at #sxsw {link}",Neutral
3882,how cool is this! #apple opening a temporary store for the #ipad2 launch and #sxsw {link},Positive
4252,"tim oreilly: saying that the value what made web 2.0 is large databases of user contribution. google, craigs list, amazon...#sxsw.",Neutral
7282,anyone know where i'll be able to find a video of marissa mayer's #sxsw presentation? #google,Neutral
5147,rt @mention @mention rainey street is a nice alternative to 6th street #sxsw parties. walking directions from convention center {link},Neutral
1733,fear not #sxsw-ers! rt @mention confirmed! apple store 2 week popup in austin for #sxsw {link},Neutral
3676,over 100 in line at apple pop-up store; everyone waiting for ipads. first guy arrived at 6:30am (36 degrees then). badges everywhere #sxsw,Neutral
1392,"who knows, maybe @mention will do it! rt @mention  are you going to gary's talk? wish i could be there - iphone me a clip if you go #sxsw",Neutral
6487,rt @mention rt @mention @mention 3 iphone apps we'll be using at south by southwest interactive {link} #sxsw #sxswi,Positive
8210,can't wait anymore!!! :)) &quot;google to launch major new social network called circles&quot; (via @mention {link} #google #circles #sxsw,Neutral
6783,so @mention thinks i may have coined a new term: &quot;apptrophy.&quot; it's what happens to unused iphone apps. they have disuse apptrophy. #sxsw,Neutral
7709,cool internet art: google will eat itself. google ads revenue used  to buy google stock. #sxsw,Positive
2417,#bjdproductions #apple opening pop-up store in austin for #sxsw geekfest [apple] {link} #tech,Neutral
2759,"mr. google, @mention : do you recommend submitting to article banks as an seo strategy? {link} (i'm not a big fan.) #sxsw",Neutral
3541,@mention i attended #beevil to hear criticism of google or ways for us to improve. even at #sxsw i'm on duty. sounds like yr panel rocked,Neutral
5481,"rt @mention apple. intel. genentech. atari. cisco...&quot;something ventured,&quot; traces the risk takers who wrote checks: {link} #sxsw",Neutral
985,hey #sxsw our new ipad app dexteria is now available {link} like us on facebook {link},Neutral
2009,lonely planet's free guide to austin: {link} iphone #sxsw,Neutral
